Nombre del Producto,Categoría,Descripción,Precio Contado,img,Stock
TUPPER RECTANGULAR DE ACRILICO Y CIERRE,Cocina,Tupper rectangular de acrílico con cierre hermético.,10016.37,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215537/TUPPER_RECTANGULAR_DE_ACRILICO_Y_CIERRE_dpr4ru.webp,1
BOWL BATIDOR DE ACERO BASE Y ASA DE SILICONA 22,Cocina,"Bowl batidor de acero con base y asa de silicona, 22 cm de diámetro.",18503.81,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199396/BOWL_BATIDOR_DE_ACERO_BASE_Y_ASA_DE_SILICONA_22_cezrq8.webp,1
TUPPER RECTANGULAR DE ACRILICO Y CIERRE,Cocina,Tupper rectangular de acrílico con cierre hermético.,9187.38,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215537/TUPPER_RECTANGULAR_DE_ACRILICO_Y_CIERRE_dpr4ru.webp,1
SET DE ENSALADERA CUADRADA CON CUBIERTOS,Cocina,Set de ensaladera cuadrada con cubiertos.,8441.24,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215537/SET_DE_ENSALADERA_CUADRADA_CON_CUBIERTOS_lwpsbv.webp,1
BOWL BATIDOR DE ACERO BASE Y ASA DE SILICONA 22,Cocina,"Bowl batidor de acero con base y asa de silicona, 22 cm de diámetro.",16036.56,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199396/BOWL_BATIDOR_DE_ACERO_BASE_Y_ASA_DE_SILICONA_22_cezrq8.webp,1
ENSALADERA DE ACRILICO NATURE 4400 ML,Cocina,Ensaladera de acrílico con capacidad de 4400 ml.,25500.27,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730219970/ENSALADERA_DE_ACRILICO_NATURE_4400_ML_guvzvh.jpg,1
"FUENTE DE VIDRIO TEMPLADO 28X18,5 CM",Cocina,"Fuente de vidrio templado rectangular, tamaño mediano.",10079.89,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730220004/FUENTE_DE_VIDRIO_TEMPLADO_39X24_CM_qixzbm.jpg,1
FUENTE DE VIDRIO TEMPLADO 34X22 CM,Cocina,"Fuente de vidrio templado rectangular, tamaño grande.",13439.89,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730220004/FUENTE_DE_VIDRIO_TEMPLADO_39X24_CM_qixzbm.jpg,1
MUG NET GREEN BASE DE CORCHO 400 ML,Cocina,"Mug con base de corcho, capacidad de 400 ml, color verde.",6719.89,n,6
ENSALADERA XL DE MELAMINA PERTH 3800 ML,Cocina,Ensaladera XL de melamina con capacidad de 3800 ml.,12195.66,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215537/ENSALADERA_DE_MELAMINA_PERTH_2850_ML_tekdur.webp,1
PLATO DE VIDRIO RECICLADO CUADRADO MENFIS 27 CM,Cocina,"Plato cuadrado de vidrio reciclado, tamaño mediano.",14559.89,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730200636/PLATO_DE_VIDRIO_RECICLADO_CUADRADO_MENFIS_27_CM_yprg9x.webp,1
RALLADOR CONICO RECTO ACERO BLACK C,Cocina,"Rallador cónico de acero inoxidable, tamaño compacto.",7356.88,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730200636/RALLADOR_CONICO_RECTO_ACERO_BLACK_C_xutomy.webp,1
BOWL BATIDOR DE ACERO BASE Y ASA DE SILICONA 20,Cocina,"Bowl batidor de acero con base y asa de silicona, 20 cm de diámetro.",14802.93,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199396/BOWL_BATIDOR_DE_ACERO_BASE_Y_ASA_DE_SILICONA_22_cezrq8.webp,1
ENSALADERA FINE PLUS BLACK SAND 21 CM,Cocina,"Ensaladera negra de melamina con detalles finos, 21 cm de diámetro.",17675.04,n,3
BOWL BATIDOR DE ACERO BASE Y ASA DE SILICONA 17,Cocina,"Bowl batidor de acero con base y asa de silicona, 17 cm de diámetro.",12335.67,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199396/BOWL_BATIDOR_DE_ACERO_BASE_Y_ASA_DE_SILICONA_22_cezrq8.webp,1
BOWL DE PLASTICO CON MALLA LINEAS HORIZONTALES,Cocina,"Bowl de plástico con malla y líneas horizontales, tamaño pequeño.",4229.97,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199398/BOWL_DE_PLASTICO_CON_MALLA_LINEAS_HORIZONTALES_bbtnsm.webp,1
BOWL DE PLASTICO CON MALLA LINEAS HORIZONTALES,Cocina,"Bowl de plástico con malla y líneas horizontales, tamaño grande.",7191.24,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199398/BOWL_DE_PLASTICO_CON_MALLA_LINEAS_HORIZONTALES_bbtnsm.webp,1
PLATO PLAYO FINE PLUS BLACK SAND 27 CM,Cocina,"Plato playo negro de melamina con detalles finos, 27 cm de diámetro.",12372.48,n,6
PLATO DE POSTRE FINE PLUS BLACK SAND 21 CM,Cocina,"Plato de postre negro de melamina con detalles finos, 21 cm de diámetro.",9640.86,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215538/PLATO_DE_POSTRE_FINE_PLUS_BLACK_SAND_21_CM_wtclrn.webp,3
"ENSALADERA BAJA COUPE FINE PLUS BLACK SAND 21,5",Cocina,"Ensaladera baja negra de melamina con detalles finos, 21.5 cm de diámetro.",14943.41,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215538/ENSALADERA_BAJA_COUPE_FINE_PLUS_BLACK_SAND_21_5_dkjuzn.webp,4
PISAPAPAS ACERO INOXIDABLE 14X9X11 CM,Cocina,"Pisapapas de acero inoxidable, tamaño 14x9x11 cm.",10999.9,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730200636/PISAPAPAS_ACERO_INOXIDABLE_14X9X11_CM_svgu56.webp,1
PLATO DE VIDRIO RECICLADO CUADRADO MENFIS 20 CM,Cocina,"Plato cuadrado de vidrio reciclado, tamaño pequeño.",10079.89,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730200636/PLATO_DE_VIDRIO_RECICLADO_CUADRADO_MENFIS_27_CM_yprg9x.webp,1
BOWL DE MELAMINA HOBART 935 ML,Cocina,Bowl de melamina de 935 ml.,5099.88,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199397/BOWL_DE_MELAMINA_HOBART_935_ML_ocjd1w.webp,3
FUENTE PARA HORNO CUADRADA ASAS RAYAS,Cocina,Fuente cuadrada para horno con asas.,19999.9,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215537/FUENTE_PARA_HORNO_CUADRADA_ASAS_RAYAS_niycxd.webp,1
FUENTE DE VIDRIO TEMPLADO 24X15 CM,Cocina,"Fuente de vidrio templado rectangular, tamaño pequeño.",8399.89,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730220004/FUENTE_DE_VIDRIO_TEMPLADO_39X24_CM_qixzbm.jpg,1
PLATO PLAYO DE MELAMINA HOBART 28 CM,Cocina,"Plato playo de melamina, 28 cm de diámetro.",6873.82,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215537/PLATO_PLAYO_DE_MELAMINA_HOBART_28_CM_f6k18s.webp,3
SET X 2 MUGS DOBLE VIDRIO 120 ML,Cocina,"Set de 2 mugs de doble vidrio, capacidad de 120 ml.",11999.9,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730220200/SET_X_2_MUGS_DOBLE_VIDRIO_120_ML_rtb6q1.jpg,1
MORTERO DE BAMBOO RAYADO 12X8CM,Cocina,"Mortero de bamboo con rayas, tamaño 12x8 cm.",7402.76,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730220173/MORTERO_DE_BAMBOO_RAYADO_12X8CM_u7snrm.jpg,1
OLLA DARK GRANITE TAPA DE VIDRIO ASAS SILICONA 33,Cocina,"Olla de granito oscuro con tapa de vidrio y asas de silicona, 33 cm.",64273.28,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215537/OLLA_DARK_GRANITE_TAPA_DE_VIDRIO_ASAS_SILICONA_33_hiceqa.webp,1
SET X 5 CUCHILLOS HOJA NEGRA MANGO SNAKE + PELA,Cocina,"Set de 5 cuchillos con hoja negra y mango tipo snake, incluye pelador.",20931.53,n,1
PINZA DE ACERO MANGO CUBIERTO CON PP NEGRO L,Cocina,"Pinza de acero con mango cubierto en PP negro, tamaño L.",3383.89,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215538/PINZA_DE_ACERO_MANGO_CUBIERTO_CON_PP_NEGRO_S_abroew.webp,1
PINZA DE ACERO MANGO CUBIERTO CON PP NEGRO S,Cocina,"Pinza de acero con mango cubierto en PP negro, tamaño S.",2960.85,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215538/PINZA_DE_ACERO_MANGO_CUBIERTO_CON_PP_NEGRO_S_abroew.webp,1
CUCHARA DE HELADO DE ACERO 6 CM,Cocina,"Cuchara de helado de acero, diámetro de 6 cm.",5076.04,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730220231/CUCHARA_DE_HELADO_DE_ACERO_6_CM_exly4f.jpg,2
"BANDEJA AMANDA 32,5X20,5 CM",Cocina,"Bandeja Amanda de tamaño 32,5x20,5 cm.",27999.9,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199399/BANDEJA_AMANDA_32_5X20_5_CM_zor73d.webp,1
BANDEJA GRANDE AMANDA 33 CM,Cocina,"Bandeja Amanda de gran tamaño, 33 cm de diámetro.",26999.9,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199395/BANDEJA_GRANDE_AMANDA_33_CM_hjpnar.webp,1
SET X 6 VASOS ALTOS MERSIN FONDO ESMERILADO 470,Cocina,"Set de 6 vasos altos con fondo esmerilado, capacidad de 470 ml.",18613.37,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730200636/SET_X_6_VASOS_ALTOS_MERSIN_FONDO_ESMERILADO_470_iov2gx.webp,2
BANDEJA DE VIDRIO PONTO RAYAS 37 CM,Cocina,"Bandeja de vidrio Ponto con rayas, tamaño 37 cm.",12851.96,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199402/BANDEJA_DE_VIDRIO_PONTO_RAYAS_37_CM_e1mvtc.webp,3
SET X 6 VASOS ALTOS DE VIDRIO RAYADO BORDE,Cocina,Set de 6 vasos altos de vidrio rayado con borde.,24247.52,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730200636/SET_X_6_VASOS_ALTOS_MERSIN_FONDO_ESMERILADO_470_iov2gx.webp,1
BOWL DE PORCELANA HOJA 21X14 CM,Cocina,"Bowl de porcelana con forma de hoja, tamaño 21x14 cm.",6988.98,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730200636/BOWL_DE_PORCELANA_HOJA_21X14_CM_g0oh3a.webp,1
BOWL DE PORCELANA HOJA 26X17 CM,Cocina,"Bowl de porcelana con forma de hoja, tamaño 26x17 cm.",9196.14,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730200636/BOWL_DE_PORCELANA_HOJA_21X14_CM_g0oh3a.webp,1
BANDEJA DE PORCELANA HOJA 33X23 CM,Cocina,"Bandeja de porcelana con forma de hoja, tamaño 33x23 cm.",13242.6,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199400/BANDEJA_DE_PORCELANA_HOJA_33X23_CM_at0g77.webp,1
BANDEJA DE PORCELANA HOJA 30X21 CM,Cocina,"Bandeja de porcelana con forma de hoja, tamaño 30x21 cm.",11083.2,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199400/BANDEJA_DE_PORCELANA_HOJA_33X23_CM_at0g77.webp,1
BANDEJA DE PORCELANA HOJA 27X19 CM,Cocina,"Bandeja de porcelana con forma de hoja, tamaño 27x19 cm.",9729.48,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199400/BANDEJA_DE_PORCELANA_HOJA_33X23_CM_at0g77.webp,1
"BANDEJA PLANA 41X18,5 CM",Cocina,"Bandeja plana de gran tamaño, 41x18,5 cm.",14999.9,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199395/BANDEJA_PLANA_CAPRI_43X22_CM_kguizs.webp,2
BANDEJA PLANA CAPRI 43X22 CM,Cocina,"Bandeja plana Capri, tamaño 43x22 cm.",28999.9,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730200636/BANDEJA_PLANA_CAPRI_43X22_CM_cczqwx.webp,2
TUPPER RECTANGULAR DE ACRILICO Y CIERRE,Cocina,Tupper rectangular de acrílico con cierre hermético.,7529.38,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215537/TUPPER_RECTANGULAR_DE_ACRILICO_Y_CIERRE_dpr4ru.webp,1
